circ_id,CASE1,CASE2,CASE3,CASE4,CASE5,CONTROL1,CONTROL2,CONTROL3
12:103730927|103861462,0,0,0.007,0,0,0,0,0.056
12:103733675|103863570,0,0,0,0,0,0,0.005,0
12:103787875|103863570,0,0,0,0.147,0,0,0,0
12:103821963|103861462,0,0.001,0,0,0,0,0,0
12:104183128|104202577,1.0,0.678,0.943,0.881,0.998,1.0,1.0,0
12:104183128|104203545,0,1.0,0,0,0,0,0,0
12:104183128|104214231,1.0,0.99,0.999,0.996,1.0,1.0,0,0.947
12:104183128|104229473,0.529,0.946,0.639,0.485,0.783,0.769,0.452,0
12:104183131|104214231,0,0,0,0,0.615,0,0,0
12:104183177|104214231,0.025,0,0,0,0,0,0,0
12:104186468|104219094,0,0.008,0.29,0.034,0,0,0,0
12:104186468|104234065,0,0,0.013,0,0,0,0,0
12:104206506|104218004,0,0,0,0,0,0.054,0,0
12:104206506|104377659,0.003,0,0,0,0,0,0,0
12:104217731|104375566,0.0,0,0,0.001,0,0,0,0
12:104234703|104310539,0,0,0,0,0,0,0.002,0
12:104234703|104378743,0,0.001,0,0,0,0,0,0
12:104307096|104307260,0,0,0,0,0,0,0.0,0.001
12:104309198|104355971,0,0,0,0,0.439,0,0,0
12:104309413|104310539,0,0,0,0.0,0,0,0,0
12:104309439|104311682,0,0,0,0,0,0.0,0,0
12:104375308|104375566,0,0.0,0,0.001,0,0.0,0,0
12:113107079|113107917,0,0,0.002,0,0,0,0,0
12:113617299|113760061,1.0,0,0,0,0,0,0,0
12:115876351|115916462,1.0,0,0.615,0.615,0.857,0,0,0
12:8035286|8037769,0,0,0.004,0,0,0,0,0
13:100383685|100453183,0,0,0,0,0.2,0,0,0
13:34169941|34170082,0,0,0.062,0,0,0,0,0
13:35143857|35172335,0,0.005,0,0,0,0.016,0,0
13:4497032|4499033,0,0,0,0,0,0,0.001,0
13:49349100|49349519,0,0,0,0,0,0,0,0.006
13:56694611|56696195,0,0,0,0,0,0,0,0.002
13:67831522|67859126,0,0.667,0,0,0,0,0,0
14:120066841|120073301,0,0,0,0,0,1.0,0,0
14:21284901|21290639,0,0,0,0,0.002,0.002,0.005,0.003
14:21368081|21368251,0,0,0.002,0,0,0,0.001,0
14:30643369|30643879,0.001,0,0,0,0,0,0,0
14:30653118|30654226,0.003,0,0,0,0,0.001,0,0
14:31096466|31099384,0,0,0.011,0,0,0,0,0
14:40843257|40843429,0.001,0,0.0,0.001,0.001,0,0,0
14:52439088|52439639,0,0,0,0.028,0,0,0,0
14:59514770|59558956,0,0,0,0.058,0,0,0,0
14:59560617|59586837,0,0,0,0,0.019,0,0,0
14:59560617|59618933,0,0.083,0,0.017,0,0,0,0
14:73605821|73622557,0,0,0,0,0,0,0.001,0
14:75512456|75515625,0,0,0.002,0,0,0,0,0
15:74855149|74983529,0,0,0,0,0.054,0,0,0
15:76582508|76582709,0,0,0,0,0,0,0,0.004
15:81809987|81810127,0,0,0,0,0,0.078,0.073,0.05
15:82235180|82238328,0,0,0,0,0,0,0,0.002
15:82336812|82337945,0,0,0,0,0,0.001,0,0
15:82523257|82523526,0.008,0,0,0,0,0,0,0
15:9084278|9091317,0,0,0,0,0,0,0.007,0
15:91691055|91695288,0,0,0,0,0,0,0.364,0
15:96906568|96906833,0,0,0,0,0,0.003,0,0
16:17154747|17155000,0,0,0,0,0,0,0.001,0
16:18230660|18232083,0,0,0,0,0,0,0.001,0
16:22713075|22715359,0,0,0,0,0,0,0.0,0
16:22714030|22715344,0,0,0,0,0.0,0,0,0.0
